program,gate,gate_name,gate_bits,cells,is_lambda16_term,short_form,example_G,example_X,example_Y
480,15,TRUE,'1111,4,no,λpqab.p a (q a (p (q b a) a)),OR,OR,NAND
481,13,NAND,'0111,4,no,λpqab.p (p (q b a) a) (q (p (q b a) a) a),OR,NOR,NAND
482,13,NAND,'0111,4,no,λpqab.p (p (q b a) a) a,OR,NOT P,NAND
483,15,TRUE,'1111,4,no,λpqab.p (q a (p (q b a) a)) (q (p (q b a) a) a),OR,XNOR,NAND
484,15,TRUE,'1111,4,no,λpqab.p (q a (p (q b a) a)) a,OR,IMPLIES (p -> q),NAND
485,13,NAND,'0111,4,no,λpqab.q (p (q b a) a) a,OR,NOT Q,NAND
486,13,NAND,'0111,4,no,λpqab.p (q (p (q b a) a) a) a,OR,NAND,NAND
487,15,TRUE,'1111,4,no,λpqab.p a (q (p (q b a) a) a),OR,CONVERSE (q -> p),NAND
488,15,TRUE,'1111,4,no,λpqab.p (p a (q b a)) (q a (p a (q b a))),OR,q AND NOT p,CONVERSE (q -> p)
489,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q a (p a (q b a))) (p a (q b a)),OR,AND,CONVERSE (q -> p)
490,15,TRUE,'1111,4,no,λpqab.q a (p a (q b a)),OR,Q,CONVERSE (q -> p)
491,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q (p a (q b a)) a) (p a (q b a)),OR,p AND NOT q,CONVERSE (q -> p)
492,15,TRUE,'1111,4,no,λpqab.p (q (p a (q b a)) a) (q a (p a (q b a))),OR,XOR,CONVERSE (q -> p)
493,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (p a (q b a)),OR,P,CONVERSE (q -> p)
494,15,TRUE,'1111,4,no,λpqab.p a (q a (p a (q b a))),OR,OR,CONVERSE (q -> p)
495,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (p a (q b a)) (q (p a (q b a)) a),OR,NOR,CONVERSE (q -> p)
496,15,TRUE,'1111,4,no,λpqab.p (p a (q b a)) a,OR,NOT P,CONVERSE (q -> p)
497,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q a (p a (q b a))) (q (p a (q b a)) a),OR,XNOR,CONVERSE (q -> p)
498,15,TRUE,'1111,4,no,λpqab.p (q a (p a (q b a))) a,OR,IMPLIES (p -> q),CONVERSE (q -> p)
499,14,CONVERSE (q -> p),'1101,4,no,λpqab.q (p a (q b a)) a,OR,NOT Q,CONVERSE (q -> p)
500,15,TRUE,'1111,4,no,λpqab.p (q (p a (q b a)) a) a,OR,NAND,CONVERSE (q -> p)
501,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (p a (q b a)) a),OR,CONVERSE (q -> p),CONVERSE (q -> p)
502,15,TRUE,'1111,16,no,λpqab.p a (q a a),OR,q AND NOT p,TRUE
503,15,TRUE,'1111,16,no,λpqab.p (q a a) a,OR,AND,TRUE
504,15,TRUE,'1111,8,no,λpqab.q a a,OR,Q,TRUE
505,15,TRUE,'1111,8,no,λpqab.p (q a a) (q a a),OR,XOR,TRUE
506,15,TRUE,'1111,8,no,λpqab.p a a,OR,P,TRUE
